enrollment_time_period ,enrollment_type,enrollment_status,enrollment_headcount
2012-2013,Undergraduate,Domestic,50671
2012-2013,Undergraduate,International,8564
2012-2013,Graduate,Domestic,11817
2012-2013,Graduate,International,2163
2013-2014,Undergraduate,Domestic,51234
2013-2014,Undergraduate,International,9477
2013-2014,Graduate,Domestic,12283
2013-2014,Graduate,International,2407
2014-2015,Undergraduate,Domestic,50900
2014-2015,Undergraduate,International,11025
2014-2015,Graduate,Domestic,12659
2014-2015,Graduate,International,2598
2015-2016,Undergraduate,Domestic,51424
2015-2016,Undergraduate,International,12296
2015-2016,Graduate,Domestic,13041
2015-2016,Graduate,International,2777
2016-2017,Undergraduate,Domestic,50850
2016-2017,Undergraduate,International,13486
2016-2017,Graduate,Domestic,13618
2016-2017,Graduate,International,2988
2017-2018,Undergraduate,Domestic,50000
2017-2018,Undergraduate,International,14947
2017-2018,Graduate,Domestic,13960
2017-2018,Graduate,International,3097
2018-2019,Undergraduate,Domestic,49401
2018-2019,Undergraduate,International,16319
2018-2019,Graduate,Domestic,14339
2018-2019,Graduate,International,3495
